"","Player","Season","Season.Type","Position","Team","GP","TOI","CF","CA","CF60","CA60","CF%","CSh%","CSv%","FF","FA","FF60","FA60","FF%","FSh%","FSv%","SF","SA","SF60","SA60","SF%","Sh%","Sv%","xGF","xGA","xGF60","xGA60","xGF%","xFSh%","xFSv%","Adj.FSv%","SCF","SCA","SCF60","SCA60","SCF%","PDO","xPDO","GF","GA","GF60","GA60","GF%","FO%","PENDIFF"
"1","ALEX.OVECHKIN","2016-2017","Regular","L","WSH",70,951.87,947,960,59.69,60.51,49.66,5.7,96.04,708,720,44.63,45.38,49.58,7.63,94.72,494,505,31.14,31.83,49.45,10.93,92.48,41.86,45.66,2.64,2.88,47.83,5.91,93.66,1.06,140,164,8.82,10.34,46.05,103.41,99.57,54,38,3.4,2.4,58.7,47.21,-22
"2","ANDRE.BURAKOVSKY","2016-2017","Regular","L","WSH",52,588.78,631,528,64.3,53.81,54.44,4.75,97.16,432,409,44.02,41.68,51.37,6.94,96.33,314,285,32,29.04,52.42,9.55,94.74,25.04,26.43,2.55,2.69,48.65,5.8,93.54,2.79,82,80,8.36,8.15,50.62,104.29,99.33,30,15,3.06,1.53,66.67,48.63,-9
"3","BRETT.CONNOLLY","2016-2017","Regular","R","WSH",56,561.24,556,489,59.44,52.28,53.21,5.58,97.96,402,356,42.98,38.06,53.03,7.71,97.19,293,252,31.32,26.94,53.76,10.58,96.03,24.53,20.49,2.62,2.19,54.49,6.1,94.24,2.95,79,58,8.45,6.2,57.66,106.61,100.35,31,10,3.31,1.07,75.61,48.01,-20
"4","BROOKS.ORPIK","2016-2017","Regular","D","WSH",67,974.36,932,843,57.39,51.91,52.51,5.36,97.15,674,622,41.5,38.3,52.01,7.42,96.14,491,450,30.24,27.71,52.18,10.18,94.67,40.93,36.91,2.52,2.27,52.58,6.07,94.07,2.08,130,120,8.01,7.39,52,104.85,100.14,50,24,3.08,1.48,67.57,51.32,-29
"5","DANIEL.WINNIK","2016-2017","Regular","C","WSH",60,580.32,470,492,48.59,50.87,48.86,4.68,97.76,344,358,35.57,37.01,49,6.4,96.93,239,246,24.71,25.43,49.28,9.21,95.53,19.63,21.72,2.03,2.25,47.48,5.71,93.93,2.99,61,72,6.31,7.44,45.86,104.73,99.64,22,11,2.27,1.14,66.67,56.64,-3
"6","DMITRY.ORLOV","2016-2017","Regular","D","WSH",70,1189.3,1165,1013,58.77,51.11,53.49,5.41,96.45,862,759,43.49,38.29,53.18,7.31,95.26,615,533,31.03,26.89,53.57,10.24,93.25,51.29,49.51,2.59,2.5,50.89,5.95,93.48,1.78,176,167,8.88,8.43,51.31,103.49,99.43,63,36,3.18,1.82,63.64,47.23,-3
"7","EVGENY.KUZNETSOV","2016-2017","Regular","C","WSH",70,940.83,902,825,57.52,52.61,52.23,5.65,96.24,661,616,42.15,39.28,51.76,7.72,94.97,482,450,30.74,28.7,51.72,10.58,93.11,39.47,39.79,2.52,2.54,49.8,5.97,93.54,1.43,138,136,8.8,8.67,50.36,103.69,99.51,51,31,3.25,1.98,62.2,42.4,-3
"8","JAKUB.VRANA","2016-2017","Regular","L","WSH",21,189.89,206,172,65.09,54.35,54.5,2.43,98.26,145,126,45.82,39.81,53.51,3.45,97.62,95,95,30.02,30.02,50,5.26,96.84,7.72,7.83,2.44,2.47,49.64,5.32,93.79,3.83,25,24,7.9,7.58,51.02,102.11,99.11,5,3,1.58,0.95,62.5,51.43,-6
"9","JAY.BEAGLE","2016-2017","Regular","C","WSH",69,686.99,528,633,46.11,55.28,45.48,5.3,97.47,391,472,34.15,41.22,45.31,7.16,96.61,272,328,23.76,28.65,45.33,10.29,95.12,24.09,26.24,2.1,2.29,47.87,6.16,94.44,2.17,84,87,7.34,7.6,49.12,105.42,100.6,28,16,2.45,1.4,63.64,56.4,-8
"10","JOHN.CARLSON","2016-2017","Regular","D","WSH",64,1006.22,958,979,57.12,58.38,49.46,5.01,96.53,702,731,41.86,43.59,48.99,6.84,95.35,483,484,28.8,28.86,49.95,9.94,92.98,43.48,45.77,2.59,2.73,48.72,6.19,93.74,1.61,164,169,9.78,10.08,49.25,102.91,99.93,48,34,2.86,2.03,58.54,50.3,-1
"11","JUSTIN.WILLIAMS","2016-2017","Regular","R","WSH",69,853.11,834,697,58.66,49.02,54.47,5.04,96.13,639,526,44.94,36.99,54.85,6.57,94.87,469,368,32.99,25.88,56.03,8.96,92.66,40.71,34.72,2.86,2.44,53.97,6.37,93.4,1.47,147,130,10.34,9.14,53.07,101.62,99.77,42,27,2.95,1.9,60.87,47.27,-8
"12","KARL.ALZNER","2016-2017","Regular","D","WSH",70,1103.27,940,1058,51.12,57.54,47.05,5.32,97.07,698,784,37.96,42.64,47.1,7.16,96.05,496,542,26.97,29.48,47.78,10.08,94.28,42.56,47.27,2.31,2.57,47.37,6.1,93.97,2.08,139,167,7.56,9.08,45.42,104.36,100.07,50,31,2.72,1.69,61.73,52.07,-20
"13","KEVIN.SHATTENKIRK","2016-2017","Regular","D","WSH",68,103.27,93,83,54.03,48.22,52.84,3.23,96.39,59,56,34.28,32.54,51.3,5.08,94.64,45,41,26.15,23.82,52.33,6.67,92.68,3.35,3.48,1.94,2.02,49.03,5.67,93.79,0.85,13,13,7.55,7.55,50,99.35,99.46,3,3,1.74,1.74,50,57.78,-4
"14","LARS.ELLER","2016-2017","Regular","C","WSH",69,756.77,765,634,60.65,50.27,54.68,4.18,97.48,546,466,43.29,36.95,53.95,5.86,96.57,394,326,31.24,25.85,54.72,8.12,95.09,32.73,28.67,2.59,2.27,53.3,5.99,93.85,2.72,106,92,8.4,7.29,53.54,103.21,99.84,32,16,2.54,1.27,66.67,48.84,-20
"15","MARCUS.JOHANSSON","2016-2017","Regular","C","WSH",70,935.06,847,749,54.35,48.06,53.07,5.55,96.26,625,563,40.1,36.13,52.61,7.52,95.03,457,401,29.32,25.73,53.26,10.28,93.02,38.36,36.11,2.46,2.32,51.51,6.14,93.59,1.44,132,122,8.47,7.83,51.97,103.3,99.72,47,28,3.02,1.8,62.67,49.16,13
"16","MATT.NISKANEN","2016-2017","Regular","D","WSH",67,1086.87,1035,881,57.14,48.64,54.02,5.02,96.48,774,661,42.73,36.49,53.94,6.72,95.31,568,475,31.36,26.22,54.46,9.15,93.47,45.73,43.53,2.52,2.4,51.23,5.91,93.41,1.9,151,159,8.34,8.78,48.71,102.63,99.32,52,31,2.87,1.71,62.65,47.89,-2
"17","NATE.SCHMIDT","2016-2017","Regular","D","WSH",56,784.74,765,666,58.49,50.92,53.46,4.71,96.85,545,503,41.67,38.46,52,6.61,95.83,384,362,29.36,27.68,51.47,9.38,94.2,35.66,27.55,2.73,2.11,56.42,6.54,94.52,1.3,123,78,9.4,5.96,61.19,103.57,101.07,36,21,2.75,1.61,63.16,49.93,-16
"18","NICKLAS.BACKSTROM","2016-2017","Regular","C","WSH",70,927.98,877,864,56.7,55.86,50.37,5.59,96.41,657,648,42.48,41.9,50.34,7.46,95.22,462,445,29.87,28.77,50.94,10.61,93.03,40.37,40.1,2.61,2.59,50.17,6.14,93.81,1.4,135,144,8.73,9.31,48.39,103.64,99.96,49,31,3.17,2,61.25,52.79,-10
"19","TAYLOR.CHORNEY","2016-2017","Regular","D","WSH",17,222.38,182,236,49.11,63.67,43.54,6.59,97.88,140,175,37.77,47.22,44.44,8.57,97.14,97,132,26.17,35.61,42.36,12.37,96.21,7.76,10.2,2.09,2.75,43.19,5.54,94.17,2.97,23,23,6.21,6.21,50,108.58,99.71,12,5,3.24,1.35,70.59,48.28,-6
"20","T.J..OSHIE","2016-2017","Regular","C","WSH",57,731.12,707,669,58.02,54.9,51.38,6.51,96.26,533,488,43.74,40.05,52.2,8.63,94.88,374,353,30.69,28.97,51.44,12.3,92.92,35.22,31.05,2.89,2.55,53.14,6.61,93.64,1.24,119,117,9.77,9.6,50.42,105.22,100.24,46,25,3.78,2.05,64.79,49.48,8
"21","TOM.WILSON","2016-2017","Regular","R","WSH",70,712.88,591,606,49.74,51,49.37,4.57,97.19,416,445,35.01,37.45,48.32,6.49,96.18,294,303,24.74,25.5,49.25,9.18,94.39,25.33,24.93,2.13,2.1,50.4,6.09,94.4,1.78,90,78,7.57,6.56,53.57,103.57,100.49,27,17,2.27,1.43,61.36,53.41,-12
"22","ZACHARY.SANFORD","2016-2017","Regular","L","WSH",20,189.63,162,176,51.26,55.69,47.93,2.47,97.16,118,140,37.34,44.3,45.74,3.39,96.43,85,102,26.89,32.27,45.45,4.71,95.1,6.79,7.8,2.15,2.47,46.55,5.75,94.43,2,21,28,6.64,8.86,42.86,99.8,100.19,4,5,1.27,1.58,44.44,53.61,-1
"23","ZACH.SANFORD","2016-2017","Regular","L","WSH",8,61.8,42,61,40.78,59.22,40.78,4.76,98.36,31,43,30.1,41.75,41.89,6.45,97.67,26,29,25.24,28.16,47.27,7.69,96.55,2.53,1.63,2.46,1.58,60.85,8.17,96.21,1.46,11,2,10.68,1.94,84.62,104.24,104.38,2,1,1.94,0.97,66.67,36.54,0
